continuous__battery_power,continuous__clock_speed,continuous__fc,continuous__int_memory,continuous__m_dep,continuous__mobile_wt,continuous__n_cores,continuous__pc,continuous__px_height,continuous__px_width,continuous__ram,continuous__sc_h,continuous__sc_w,continuous__talk_time,categorical__blue_0,categorical__blue_1,categorical__wifi_0,categorical__wifi_1,categorical__three_g_0,categorical__three_g_1,categorical__touch_screen_0,categorical__touch_screen_1,categorical__four_g_0.0,categorical__four_g_1.0,categorical__dual_sim_0,categorical__dual_sim_1,price_range
-0.9015770140018626,0.8310485888096543,-0.7624236344632543,-1.3827538309609413,0.33959876184749416,1.3488829951694832,-1.0985042370067852,-1.3052388950025278,-1.4108953796600676,-1.1465880133511535,0.39212341167774534,-0.7853474117446565,0.28132070828555333,1.4639872977036779,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
-0.49432440087329726,-1.2540886673386304,-0.9929103420575968,1.1539705718671893,0.6861600816006262,-0.12046335237362238,-0.6619529523998972,-0.6451180745414792,0.5875700596799586,1.7064763238507485,0.46771486154034175,1.1139865655205867,-0.6368916362989333,-0.7324073344304677,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2
-1.5363450534592356,-1.2540886673386304,-0.5319369268689119,0.49221637982506833,1.379282721106891,0.13384659239345356,0.2111496168138793,-0.6451180745414792,1.3959888475711781,1.0765790026503286,0.4419031469531137,-0.31051391742834566,-0.866444722445055,-0.3663415624081101,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2
-1.4180370317682556,1.199013986953469,-0.9929103420575968,-1.217315282950411,1.032721401353759,-0.2617466550219979,0.6477009014207675,-0.15002745919569274,1.2898556547474707,1.2386849309004366,0.5949297405773942,0.8765698183624313,0.510873794431675,-0.00027579038575250854,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2
1.3257990097571626,-0.3955027383363957,2.0034168566688546,0.6576549278355985,0.33959876184749416,0.02081995027475315,-1.0985042370067852,0.6751235663806181,1.2717904304370522,-0.09058368075044942,-0.6569384169031653,-1.0227641589028118,-0.866444722445055,0.7318557536589627,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1
1.4122548717621093,-1.2540886673386304,-0.30145021927456944,-0.55556109090829,0.6861600816006262,0.6707231424572806,-1.5350555216136734,-0.48008786942621706,0.8111272105213851,0.9329994662002329,-0.9740537675462525,1.1139865655205867,-1.0959978085911766,-0.18330867639693132,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1
1.3257990097571626,0.21777292523662917,-0.07096351168022698,-1.217315282950411,1.032721401353759,-0.035693370784597056,1.520803470634544,0.01500274591956942,-0.5957021326524412,-0.5398486819007489,1.0106827148216742,0.1643195768879651,0.510873794431675,1.2809544116924991,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3
1.6283945267744764,-1.2540886673386304,-0.9929103420575968,-0.4452687255679365,1.032721401353759,1.320626334639808,-0.2254016677930089,-1.6352993052330522,-0.29988408456934124,-0.23647901617554667,-1.3123715980288484,0.8765698183624313,-0.6368916362989333,-1.0984731064528253,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0
0.47034100676084645,-1.2540886673386304,-0.9929103420575968,1.1539705718671893,0.6861600816006262,0.9532897477540316,1.0842521860276557,0.6751235663806181,-0.5844113674584297,-0.9613240953510298,-0.9445546651608491,1.1139865655205867,-1.0959978085911766,1.6470201837148568,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
-1.6592033836767917,-1.1314335346240254,-0.5319369268689119,-1.2724614656205877,-1.393207836918167,-1.335499755149652,0.2111496168138793,0.8401537714958802,1.1114615646820898,-0.0627940930504309,-1.48475697759355,1.5888200598368976,0.9699799667239184,0.1827570956254263,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0
-1.0676632752218922,1.6896345178118888,-0.9929103420575968,-1.2724614656205877,-1.393207836918167,1.1793430319914324,0.2111496168138793,-1.47026910011779,-0.8960364868131456,-0.8733237343009712,1.6799436001905153,-1.735014400377278,-0.866444722445055,-0.7324073344304677,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3
0.640977576507452,0.8310485888096543,0.15952319591411546,0.05104691846365428,-0.006962557905638033,1.038059729343057,1.520803470634544,1.3352443868416668,-1.1150773315769678,-0.569954068575769,1.5693219662452522,0.40173632404612053,0.7404268805777967,0.3657899816366051,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3
